"BFS_NUMMER","Total number of pictures by municipality","Total number of picture' views by municipality","Average number of picture' views by municipality","Total number of favorited pictures by municipality","Average number of favorited pictures by municipality","Habitants","Densité de la population par km²","total number of favorited / total number of pics by municipality","total number of views / total number of pics by municipality","Total pictures by capita & by municipality","Total picture views by capita & by municipality","Average #views by capita and by municipality","Total favorited pictures by capita & by municipality","Average favorited pictures by capita & by municipality"
769,21,3498,166.571428571429,265,12.6190476190476,2446,110,12.6190476190476,166.571428571429,0.00858544562551104,1.4300899427637,0.0680995210839855,0.108340147179068,0.00515905462757466
781,21,8239,392.333333333333,326,15.5238095238095,NA,NA,15.5238095238095,392.333333333333,NA,NA,NA,NA,NA
782,15,14860,990.666666666667,607,40.4666666666667,321,2,40.4666666666667,990.666666666667,0.0467289719626168,46.2928348909657,3.08618899273105,1.89096573208723,0.126064382139149
783,3,8520,2840,104,34.6666666666667,1214,29,34.6666666666667,2840,0.00247116968698517,7.01812191103789,2.33937397034596,0.085667215815486,0.028555738605162
784,8,266,33.25,2,0.25,1041,4,0.25,33.25,0.00768491834774256,0.25552353506244,0.031940441882805,0.00192122958693564,0.000240153698366955
785,32,25862,808.1875,594,18.5625,4676,115,18.5625,808.1875,0.00684345594525235,5.53079555175364,0.172837360992301,0.127031650983747,0.00396973909324209
786,8,5855,731.875,185,23.125,590,19,23.125,731.875,0.0135593220338983,9.92372881355932,1.24046610169492,0.313559322033898,0.0391949152542373
791,10,4447,444.7,154,15.4,1313,17,15.4,444.7,0.00761614623000762,3.38690022848439,0.338690022848439,0.117288651942117,0.0117288651942117
792,51,13377,262.294117647059,465,9.11764705882353,2454,20,9.11764705882353,262.294117647059,0.0207823960880196,5.45110024449878,0.106884318519584,0.189486552567237,0.00371542259935759
793,8,1766,220.75,84,10.5,1339,22,10.5,220.75,0.00597460791635549,1.31889469753547,0.164861837191934,0.0627333831217326,0.00784167289021658
794,10,7101,710.1,251,25.1,2987,41,25.1,710.1,0.0033478406427854,2.37730164044192,0.237730164044192,0.0840308001339136,0.00840308001339136
841,1,160,160,3,3,987,16,3,160,0.00101317122593718,0.162107396149949,0.162107396149949,0.00303951367781155,0.00303951367781155
842,6,2439,406.5,174,29,816,14,29,406.5,0.00735294117647059,2.98897058823529,0.498161764705882,0.213235294117647,0.0355392156862745
843,19,3283,172.789473684211,60,3.15789473684211,6858,57,3.15789473684211,172.789473684211,0.00277048702245553,0.478710994459026,0.0251953154978435,0.00874890638670166,0.000460468757194824
853,2,96,48,1,0.5,1615,28,0.5,48,0.00123839009287926,0.0594427244582043,0.0297213622291022,0.000619195046439629,0.000309597523219814
855,1,12,12,0,0,6794,152,0,12,0.000147188695908154,0.00176626435089785,0.00176626435089785,0,0
